word,polarity
강남스타일,100
밴드,100
여자친구,100
뮤직,100
케이팝팬,100
K-POP,100
k팝,100
워너원,100
콘서트,100
케이팝의,100
케이팝이,100
케이팝,100
K팝의,100
K팝이,100
kpop,100
kpop이,100
kpop의,100
Kpop,100
KPOP,100
K-팝,100
k-pop,100
POP,100
pop,100
엔터,100
빅히트,100
팝,100
그룹,100
빌보드,100
앨범,100
아이돌,100
bts,100
BTS,100
BTS의,100
bts가,100
bts가,100
BTS가,100
방탄이,100
방탄,100
소년단,100
방탄소년단의,100
방탄소년단이,100
방탄소년단을,100
방탄소년단,100
블랙핑크,100
BLACKPINK,100
Blackpink,100
슈퍼주니어,100
Superjunior,100
싸이,100
차트,100
음악,100
가수,100
그래미,100
아미,100
스트레이,100
엑소,100
EXO,100
exo,100
Exo,100
김석진,100
지민,100
뷔,100
정국,100
태형,100
김남준,100
RM,100
rm,100
제이홉,100
슈가,100
에이티즈,100
(여자)아이들,100
NCT127,100
NCT127,100
리사,100
몬스타,100
샤이니,100
IKON,100
ikon,100
씨스타,100
AOA,100
있지,100
ITZY,100
걸그룹,100
보이그룹,100
레드벨벳,100
redvelvet,100
Redvelvet,100
제니,100
로제,100
리사,100
빅톤,100
소미,100
갓세븐,100
엔터테인먼트,100
엔터테이먼트,100
NCT,100
JYP,100
jyp,100
YG,100
SM,100
2NE1,100
씨엘,100
강다니엘,100
아이유,100
애프터스쿨,100
에스파,100
애스파,100
에이스파,100
위클리,100
위너,100
TXT,100
txt,100
트와이스,100
춤,100
댄스,100
청하의,100
nct,100
Beauty,-1
음식,-1
먹방,-1
푸드,-1
김치의,-1
김치,-1
뷰티,-1
메이크업,-1
화장,-1
커피,-1
스킨,-1
라면,-1
한국문화,-1
요리사,-1
한식,-1
국 ,-1
스킨케어,-1
미용,-1
요리,-1
드라마,10
영화,10
기생충,10
넷플릭스,10
OTT,10
한국영화,10
오징어,10
부산행,10
tv,10
TV,10
오스카,10
아카데미,10
작품상,10
버닝,10
오스카상,10
아카데미상,10
황금종려상,10
영화제,10
배우,10
parasite,10
감독상,10
한국영화제,10
각본상,10
애니메이션,10
설국열차,10
봉준호,10
기생충이,10
오징어게임이,10
도깨비,10
변우석,10
괴기,10
맨션,10
한드,10
미나리,10
슬기로운,10
마이네임,10
네임,10
강림,10
김선호,10
차차차,10
tvn,10
tvN,10
TVN,10
이태원,10
마동석,10
화정음,10
윤계상,10
배두나,10
불시착,10
사랑의,10
임수향,10
송중기,10
김유정,10
김새론,10
세포들,10
응답하라,10
윤시윤,10
이민호,10
안보현,10
이선균,10
전지현,10
정해인,10
조정석,10
차은우,10
최우식,10
택시,10
택시 운전사,10
펜트,10
윤여정,10
싱크홀,10
액션,10
국제시장,10
모가디슈,10
빈센조,10
라켓소년단,10
인질,10
여배우,10
정호연,10
아누팜,10
홍상수,10
군함도,10
옥자,10
국제영화제,10
김기덕,10
영화배우,10
도둑들,10
다큐멘터리,10
연상호,10
단편영화,10
한국드라마,10
곽동연,10
시리즈,10
패러사이트,10
NETFLIX,10
netflix,10
우도환,10
박서준,10
공유,10
박보검,10
백두산,10
김수현,10
낭만닥터,10
닥터,10
이방인,10
이정재,10
삼진그룹,10
언더독,10
한국애니메이션,10
현빈,10
박신혜,10
드라마에,10
드라마의,10
박해진,10
역사영화제,10
신과,10
